stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
06098002397,,34 y 173,,-34.879388,-57.854077,,,,,America/Argentina/Buenos_Aires,
06098002399,,34 y Av. Montevideo,,-34.877756,-57.852707,,,,,America/Argentina/Buenos_Aires,
06098002400,,15 y 165,,-34.873347,-57.879832,,,,,America/Argentina/Buenos_Aires,
06098002402,,15 y 164,,-34.874185,-57.880518,,,,,America/Argentina/Buenos_Aires,
06098002403,,164 y 17,,-34.875422,-57.878431,,,,,America/Argentina/Buenos_Aires,
06098002404,,164 y 19,,-34.876659,-57.87624,,,,,America/Argentina/Buenos_Aires,
06098002405,,164 y 21,,-34.877917,-57.873992,,,,,America/Argentina/Buenos_Aires,
06098002406,,164 y 23,,-34.878739,-57.872519,,,,,America/Argentina/Buenos_Aires,
06098002407,,164 y 24,,-34.879765,-57.870683,,,,,America/Argentina/Buenos_Aires,
06098002408,,Pza. 17 De Octubre,,-34.880434,-57.869519,,,,,America/Argentina/Buenos_Aires,
06098002409,,26 y 163,,-34.88124,-57.870172,,,,,America/Argentina/Buenos_Aires,
06098002410,,26 y 162,,-34.88288,-57.871543,,,,,America/Argentina/Buenos_Aires,
06098002460,,Av. 4 y 158,,-34.876484,-57.896153,,,,,America/Argentina/Buenos_Aires,
06098002461,,Av. 4 y 156,,-34.878515,-57.897782,,,,,America/Argentina/Buenos_Aires,
06098002463,,Av. 4 y 153,,-34.880523,-57.899533,,,,,America/Argentina/Buenos_Aires,
06098002508,,Acc. A La Balandra,,-34.939462,-57.730737,,,,,America/Argentina/Buenos_Aires,
06098003001,,Acc. Bagliardi,,-34.89118,-57.823271,,,,,America/Argentina/Buenos_Aires,
06098003002,,Hogar De Ancianos,,-34.898808,-57.807395,,,,,America/Argentina/Buenos_Aires,
06098003003,,Bº Los Talas,,-34.903874,-57.796958,,,,,America/Argentina/Buenos_Aires,
06098003004,,Camping S.U.P.E.H.,,-34.905767,-57.792174,,,,,America/Argentina/Buenos_Aires,
06098003005,,Destacamento Los Talas,,-34.915592,-57.779076,,,,,America/Argentina/Buenos_Aires,
06098003006,,Esc. 23 - Aº El Pescado,,-34.926938,-57.761994,,,,,America/Argentina/Buenos_Aires,
06098003007,,Acc. Balneario Municipal,,-34.93053,-57.752648,,,,,America/Argentina/Buenos_Aires,
06098003008,,Acc. Balneario Municipal,,-34.930617,-57.752735,,,,,America/Argentina/Buenos_Aires,
06098003009,,Destacamento Los Talas,,-34.915672,-57.779148,,,,,America/Argentina/Buenos_Aires,
06098003010,,Bº Los Talas,,-34.903929,-57.796995,,,,,America/Argentina/Buenos_Aires,
06098003011,,Hogar De Ancianos,,-34.898943,-57.807361,,,,,America/Argentina/Buenos_Aires,
06098003012,,Acc. Bagliardi,,-34.891204,-57.823363,,,,,America/Argentina/Buenos_Aires,
06098003013,,Camping S.U.P.E.H.,,-34.905855,-57.792246,,,,,America/Argentina/Buenos_Aires,
06098003014,,Esc. 23 - Aº El Pescado,,-34.927022,-57.762057,,,,,America/Argentina/Buenos_Aires,
