trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1155SI1,1155,SI,a Arroyo El Gato - VUELTA,275K,1,,11551,,
115DI0,115,DI,a Villa Martelli x Saavedra,110A,0,,1150,,
115DI1,115,DI,a Fac. de Derecho x Saavedra,110A,1,,1151,,
115FI0,115,FI,a Villa Martelli x Saavedra,110A,0,,1150,,
115FI1,115,FI,a Fac. de Derecho x Saavedra,110A,1,,1151,,
115HI0,115,HI,a Villa Martelli x Saavedra,110A,0,,1150,,
115HI1,115,HI,a Fac. de Derecho x Saavedra,110A,1,,1151,,
115SI0,115,SI,a Villa Martelli x Saavedra,110A,0,,1150,,
115SI1,115,SI,a Fac. de Derecho x Saavedra,110A,1,,1151,,
116DI0,116,DI,a Villa Martelli x Constituyentes,110B,0,,1160,,
116DI1,116,DI,a Fac. de Derecho x Constituyentes,110B,1,,1161,,
116FI0,116,FI,a Villa Martelli x Constituyentes,110B,0,,1160,,
116FI1,116,FI,a Fac. de Derecho x Constituyentes,110B,1,,1161,,
116HI0,116,HI,a Villa Martelli x Constituyentes,110B,0,,1160,,
116HI1,116,HI,a Fac. de Derecho x Constituyentes,110B,1,,1161,,
116SI0,116,SI,a Villa Martelli x Constituyentes,110B,0,,1160,,
116SI1,116,SI,a Fac. de Derecho x Constituyentes,110B,1,,1161,,
117DI0,117,DI,a Ciudadela,146A,0,,1170,,
117DI1,117,DI,a Correo Central,146A,1,,1171,,
117FI0,117,FI,a Ciudadela,146A,0,,1170,,
117FI1,117,FI,a Correo Central,146A,1,,1171,,
117HI0,117,HI,a Ciudadela,146A,0,,1170,,
117HI1,117,HI,a Correo Central,146A,1,,1171,,
117SI0,117,SI,a Ciudadela,146A,0,,1170,,
117SI1,117,SI,a Correo Central,146A,1,,1171,,
118DI0,118,DI,A - a Olivos,152A,0,,1180,,
118DI1,118,DI,A - a La Boca,152A,1,,1181,,
118FI0,118,FI,A - a Olivos,152A,0,,1180,,
118FI1,118,FI,A - a La Boca,152A,1,,1181,,
118HI0,118,HI,A - a Olivos,152A,0,,1180,,
118HI1,118,HI,A - a La Boca,152A,1,,1181,,
118SI0,118,SI,A - a Olivos,152A,0,,1180,,
118SI1,118,SI,A - a La Boca,152A,1,,1181,,
1201DI0,1201,DI,B X 64 (BLANCO) - IDA,214B64,0,,12010,,
1201DI1,1201,DI,B X 64 (BLANCO) - VUELTA,214B64,1,,12011,,
1201HI0,1201,HI,B X 64 (BLANCO) - IDA,214B64,0,,12010,,
1201HI1,1201,HI,B X 64 (BLANCO) - VUELTA,214B64,1,,12011,,
1201SI0,1201,SI,B X 64 (BLANCO) - IDA,214B64,0,,12010,,
1201SI1,1201,SI,B X 64 (BLANCO) - VUELTA,214B64,1,,12011,,
1202HI0,1202,HI,D (AMARILLO) - IDA,214D,0,,12020,,
1202HI1,1202,HI,D (AMARILLO) - VUELTA,214D,1,,12021,,
1202SI0,1202,SI,D (AMARILLO) - IDA,214D,0,,12020,,
1202SI1,1202,SI,D (AMARILLO) - VUELTA,214D,1,,12021,,
1203DI0,1203,DI,A1 (BLANCO),273A,0,,12030,,
1203DI1,1203,DI,A2  (BLANCO),273A,1,,12031,,
1203HI0,1203,HI,A1 (BLANCO),273A,0,,12030,,
1203HI1,1203,HI,A2  (BLANCO),273A,1,,12031,,
1203SI0,1203,SI,A1 (BLANCO),273A,0,,12030,,
1203SI1,1203,SI,A2  (BLANCO),273A,1,,12031,,
1204DI0,1204,DI,a B11 (VERDE) - IDA,273B11,0,,12040,,
1204DI1,1204,DI,a B11 (VERDE) - VUELTA,273B11,1,,12041,,
1204HI0,1204,HI,a B11 (VERDE) - IDA,273B11,0,,12040,,
1204HI1,1204,HI,a B11 (VERDE) - VUELTA,273B11,1,,12041,,
1204SI0,1204,SI,a B11 (VERDE) - IDA,273B11,0,,12040,,
1204SI1,1204,SI,a B11 (VERDE) - VUELTA,273B11,1,,12041,,
1205DI0,1205,DI,a BC (VERDE) - IDA,273BC,0,,12050,,
1205DI1,1205,DI,a BC (VERDE) - VUELTA,273BC,1,,12051,,
1205HI0,1205,HI,a BC (VERDE) - IDA,273BC,0,,12050,,
1205HI1,1205,HI,a BC (VERDE) - VUELTA,273BC,1,,12051,,
1205SI0,1205,SI,a BC (VERDE) - IDA,273BC,0,,12050,,
1205SI1,1205,SI,a BC (VERDE) - VUELTA,273BC,1,,12051,,
1206DI0,1206,DI,a BG (VERDE) - IDA,273BG,0,,12060,,
1206DI1,1206,DI,a BG (VERDE) - VUELTA,273BG,1,,12061,,
1206HI0,1206,HI,a BG (VERDE) - IDA,273BG,0,,12060,,
1206HI1,1206,HI,a BG (VERDE) - VUELTA,273BG,1,,12061,,
1206SI0,1206,SI,a BG (VERDE) - IDA,273BG,0,,12060,,
1206SI1,1206,SI,a BG (VERDE) - VUELTA,273BG,1,,12061,,
1209DI0,1209,DI,F (ROJA) a 77 y 134,273F,0,,12090,,
1209HI0,1209,HI,F (ROJA) a 77 y 134,273F,0,,12090,,
1209SI0,1209,SI,F (ROJA) a 77 y 134,273F,0,,12090,,
120DI0,120,DI,a Est. Ing. Budge,188A,0,,1200,,
120DI1,120,DI,a Pza. Italia,188A,1,,1201,,
120FI0,120,FI,a Est. Ing. Budge,188A,0,,1200,,
120FI1,120,FI,a Pza. Italia,188A,1,,1201,,
120HI0,120,HI,a Est. Ing. Budge,188A,0,,1200,,
120HI1,120,HI,a Pza. Italia,188A,1,,1201,,
120SI0,120,SI,a Est. Ing. Budge,188A,0,,1200,,
120SI1,120,SI,a Pza. Italia,188A,1,,1201,,
1210DI0,1210,DI,G (VERDE) a 77 y 134,273G,0,,12100,,
1210HI0,1210,HI,G (VERDE) a 77 y 134,273G,0,,12100,,
1210SI0,1210,SI,G (VERDE) a 77 y 134,273G,0,,12100,,
1213DI0,1213,DI,TOP CENTENARIO (ROJO) - IDA,273CENT,0,,12130,,
1213DI1,1213,DI,TOP CENTENARIO (ROJO) - VUELTA,273CENT,1,,12131,,
1213HI0,1213,HI,TOP CENTENARIO (ROJO) - IDA,273CENT,0,,12130,,
1213HI1,1213,HI,TOP CENTENARIO (ROJO) - VUELTA,273CENT,1,,12131,,
1213SI0,1213,SI,TOP CENTENARIO (ROJO) - IDA,273CENT,0,,12130,,
1213SI1,1213,SI,TOP CENTENARIO (ROJO) - VUELTA,273CENT,1,,12131,,
1215DI0,1215,DI,6 (ROJO) - IDA,273R6,0,,12150,,
1215DI1,1215,DI,6 (ROJO) - VUELTA,273R6,1,,12151,,
